Loss,Labels,Recompute_every,use_sigmoid,paths_to_evaluate_list,No_reinsert,Reinsert
MSE,probabilities,step,True,1000,95.0,29.0
MSE,probabilities,step,True,1000,279.0,65.0
MSE,probabilities,step,True,1000,279.0,186.0
MSE,probabilities,step,False,1000,277.0,169.0
MSE,probabilities,step,False,1000,262.0,141.0
MSE,probabilities,step,False,1000,108.0,29.0
MSE,normalized_probabilities,step,True,1000,259.0,111.0
MSE,normalized_probabilities,step,True,1000,255.0,186.0
MSE,normalized_probabilities,step,True,1000,275.0,174.0
MSE,normalized_probabilities,step,False,1000,110.0,31.0
MSE,normalized_probabilities,step,False,1000,93.0,29.0
MSE,normalized_probabilities,step,False,1000,279.0,30.0
MSE,keystone,step,True,1000,162.0,94.0
MSE,keystone,step,True,1000,97.0,29.0
MSE,keystone,step,True,1000,199.0,150.0
MSE,keystone,step,False,1000,202.0,134.0
MSE,keystone,step,False,1000,259.0,202.0
MSE,keystone,step,False,1000,264.0,202.0
MSE,keystone,no_keystone,True,1000,258.0,136.0
MSE,keystone,no_keystone,True,1000,229.0,162.0
MSE,keystone,no_keystone,True,1000,279.0,185.0
MSE,keystone,no_keystone,False,1000,184.0,141.0
MSE,keystone,no_keystone,False,1000,117.0,30.0
MSE,keystone,no_keystone,False,1000,279.0,151.0
MSE,normalized_keystone,step,True,1000,92.0,29.0
MSE,normalized_keystone,step,True,1000,274.0,207.0
MSE,normalized_keystone,step,True,1000,279.0,57.0
MSE,normalized_keystone,step,False,1000,242.0,135.0
MSE,normalized_keystone,step,False,1000,215.0,139.0
MSE,normalized_keystone,step,False,1000,67.0,29.0
MSE,normalized_keystone,no_keystone,True,1000,279.0,30.0
MSE,normalized_keystone,no_keystone,True,1000,279.0,223.0
MSE,normalized_keystone,no_keystone,True,1000,279.0,84.0
MSE,normalized_keystone,no_keystone,False,1000,274.0,196.0
MSE,normalized_keystone,no_keystone,False,1000,94.0,54.0
MSE,normalized_keystone,no_keystone,False,1000,179.0,119.0
