Loss,Labels,Recompute_every,use_sigmoid,paths_to_evaluate_list,No_reinsert_avg,No_reinsert_std,margin_of_error,Reinsert_avg,Reinsert_std,margin_of_error
MSE,probabilities,step,True,1000,217.66666666666666,86.73843182554982,215.47020955326317,93.33333333333333,67.1532244613433,166.81785734799038
MSE,probabilities,step,False,1000,215.66666666666666,76.3777163546774,189.73276553167287,113.0,60.486913185140025,150.2578221087126
MSE,normalized_probabilities,step,True,1000,263.0,8.640987597877148,21.465403158387513,157.0,32.89376840679705,81.7126505798935
MSE,normalized_probabilities,step,False,1000,160.66666666666666,83.96163144886809,208.57225501963103,30.0,0.816496580927726,2.028289948172634
MSE,keystone,step,True,1000,152.66666666666666,42.16106682183879,104.73389605845746,91.0,49.44357052910587,122.82463815341703
MSE,keystone,step,False,1000,241.66666666666666,28.122746823325933,69.86077594096501,179.33333333333334,32.05550741379015,79.6302948349016
MSE,keystone,no_keystone,True,1000,255.33333333333334,20.49932248202906,50.92314004230871,161.0,20.016659728003237,49.72413929299075
MSE,keystone,no_keystone,False,1000,193.33333333333334,66.46469405297489,165.10745299489673,107.33333333333333,54.83510635431365,136.21795562090264
MSE,normalized_keystone,step,True,1000,215.0,86.99808427009566,216.11522198269964,97.66666666666667,78.15085127850851,194.13747686392867
MSE,normalized_keystone,step,False,1000,174.66666666666666,76.92564952963059,191.09390699507628,101.0,50.93787065304817,126.5366854439293
MSE,normalized_keystone,no_keystone,True,1000,279.0,0.0,0.0,112.33333333333333,81.29917315419361,201.95834196394964
MSE,normalized_keystone,no_keystone,False,1000,182.33333333333334,73.52248333370926,182.639973508539,123.0,58.04021594262608,144.17988921942344
